threads,time_seq,time_finegrain,time_coarsegrain,speedup_fine,speedup_coarse
1,0.30178000,0.30139000,0.30643600,1.0012,.9848
2,0.30178000,1.81193000,0.31978100,.1665,.9437
3,0.30178000,1.47978800,0.21349500,.2039,1.4135
4,0.30178000,1.43897200,0.15138200,.2097,1.9934
6,0.30178000,1.64673300,0.14861400,.1832,2.0306
8,0.30178000,1.60230700,0.13868100,.1883,2.1760
16,0.30178000,1.59974600,0.14151400,.1886,2.1325
32,0.30178000,1.59648800,0.14305800,.1890,2.1094
64,0.30178000,1.59825800,0.14286200,.1888,2.1123
128,0.30178000,1.60485500,0.14610900,.1880,2.0654
